id,timestamp,sensor_id,total
68438,8/17/2020 17:36,283,813
68439,8/17/2020 17:41,265,78
68440,8/17/2020 17:41,277,815
68441,8/17/2020 17:41,283,815
68442,8/17/2020 17:46,265,78
68443,8/17/2020 17:46,277,819
68444,8/17/2020 17:46,283,819
68445,8/17/2020 17:51,265,78
68446,8/17/2020 17:51,277,820
68447,8/17/2020 17:51,283,820
68448,8/17/2020 17:56,265,78
68449,8/17/2020 17:56,277,821
68450,8/17/2020 17:56,283,821
68451,8/17/2020 18:01,265,79
68452,8/17/2020 18:01,277,824
68453,8/17/2020 18:01,283,826
68454,8/17/2020 18:06,265,79
68455,8/17/2020 18:06,277,830
68456,8/17/2020 18:06,283,830
68457,8/17/2020 18:11,265,79
68458,8/17/2020 18:11,277,831
68459,8/17/2020 18:11,283,833
68460,8/17/2020 18:16,265,79
68461,8/17/2020 18:16,277,836
68462,8/17/2020 18:16,283,836
68463,8/17/2020 18:21,265,79
68464,8/17/2020 18:21,277,836
68465,8/17/2020 18:21,283,836
68466,8/17/2020 18:26,265,79
68467,8/17/2020 18:26,277,839
68468,8/17/2020 18:26,283,839
68469,8/17/2020 18:31,265,79
68470,8/17/2020 18:31,277,840
68471,8/17/2020 18:31,283,840
68472,8/17/2020 18:36,265,79
68473,8/17/2020 18:36,277,842
68474,8/17/2020 18:36,283,842
68475,8/17/2020 18:41,265,79
68476,8/17/2020 18:41,277,842
68477,8/17/2020 18:41,283,843
68478,8/17/2020 18:46,265,80
68479,8/17/2020 18:46,277,849
68480,8/17/2020 18:46,283,849
68481,8/17/2020 18:51,265,80
68482,8/17/2020 18:51,277,852
68483,8/17/2020 18:51,283,852
68484,8/17/2020 18:56,265,80
68485,8/17/2020 18:56,277,854
68486,8/17/2020 18:56,283,854
68487,8/17/2020 19:01,265,81
68488,8/17/2020 19:01,277,857
68489,8/17/2020 19:01,283,857
68490,8/17/2020 19:06,265,81
68491,8/17/2020 19:06,277,861
68492,8/17/2020 19:06,283,861
68493,8/17/2020 19:11,265,82
68494,8/17/2020 19:11,277,862
68495,8/17/2020 19:11,283,862
68496,8/17/2020 19:16,265,82
68497,8/17/2020 19:16,277,863
68498,8/17/2020 19:16,283,863
68499,8/17/2020 19:21,265,82
68500,8/17/2020 19:21,277,865
68501,8/17/2020 19:21,283,865
68502,8/17/2020 19:26,265,82
68503,8/17/2020 19:26,277,872
68504,8/17/2020 19:26,283,872
68505,8/17/2020 19:31,265,83
68506,8/17/2020 19:31,277,877
68507,8/17/2020 19:31,283,877
68508,8/17/2020 19:36,265,83
68509,8/17/2020 19:36,277,878
68510,8/17/2020 19:36,283,878
68511,8/17/2020 19:41,265,83
68512,8/17/2020 19:41,277,880
68513,8/17/2020 19:41,283,880
68514,8/17/2020 19:46,265,85
68515,8/17/2020 19:46,277,885
68516,8/17/2020 19:46,283,885
68517,8/17/2020 19:51,265,86
68518,8/17/2020 19:51,277,890
68519,8/17/2020 19:51,283,890
68520,8/17/2020 19:56,265,86
68521,8/17/2020 19:56,277,890
68522,8/17/2020 19:56,283,890
68523,8/17/2020 20:01,265,90
68524,8/17/2020 20:01,277,890
68525,8/17/2020 20:01,283,890
68526,8/17/2020 20:06,265,90
68527,8/17/2020 20:06,277,894
68528,8/17/2020 20:06,283,894
76568,8/26/2020 12:43,265,30
77104,8/26/2020 15:37,265,51
77640,8/28/2020 12:27,277,397
78213,8/31/2020 12:13,271,345
78777,8/31/2020 15:59,265,20
79319,8/31/2020 19:35,277,345
79893,8/31/2020 23:25,277,0
80451,9/1/2020 3:09,265,0
80997,9/1/2020 6:47,271,0
81546,9/1/2020 10:29,265,22
82113,9/1/2020 14:15,277,482
82664,9/1/2020 18:27,265,64
83233,9/1/2020 22:15,306,0
83781,9/2/2020 1:53,277,15
84324,9/2/2020 5:31,265,7
68092,8/17/2020 8:31,265,134
68093,8/17/2020 8:31,271,279
68094,8/17/2020 8:31,277,279
68095,8/17/2020 8:31,283,279
68096,8/17/2020 8:36,265,134
68097,8/17/2020 8:36,271,281
68098,8/17/2020 8:36,277,281
68099,8/17/2020 8:36,283,281
68100,8/17/2020 8:41,265,27
68101,8/17/2020 8:41,271,288
68102,8/17/2020 8:41,277,288
68103,8/17/2020 8:41,283,288
68104,8/17/2020 8:46,265,28
68105,8/17/2020 8:46,271,289
68106,8/17/2020 8:46,277,289
68107,8/17/2020 8:46,283,289
68108,8/17/2020 8:51,265,29
68109,8/17/2020 8:51,271,293
68110,8/17/2020 8:51,277,293
68111,8/17/2020 8:51,283,293
68116,8/17/2020 8:56,265,30
68117,8/17/2020 8:56,271,297
68118,8/17/2020 8:56,277,297
68119,8/17/2020 8:56,283,297
68124,8/17/2020 9:01,265,30
68125,8/17/2020 9:01,277,297
68126,8/17/2020 9:01,283,297
68130,8/17/2020 9:06,265,30
68131,8/17/2020 9:06,277,303
68132,8/17/2020 9:06,283,303
68133,8/17/2020 9:11,265,31
68134,8/17/2020 9:11,277,306
68135,8/17/2020 9:11,283,306
68529,8/17/2020 20:11,265,90
68530,8/17/2020 20:11,277,898
68531,8/17/2020 20:11,283,898
68532,8/17/2020 20:16,265,91
68533,8/17/2020 20:16,277,900
68534,8/17/2020 20:16,283,900
68535,8/17/2020 20:21,265,91
68536,8/17/2020 20:21,277,901
68537,8/17/2020 20:21,283,901
68538,8/17/2020 20:26,265,91
68539,8/17/2020 20:26,277,901
68540,8/17/2020 20:26,283,901
68541,8/17/2020 20:31,265,91
68542,8/17/2020 20:31,277,905
68543,8/17/2020 20:31,283,906
68544,8/17/2020 20:36,265,91
68545,8/17/2020 20:36,277,907
68546,8/17/2020 20:36,283,907
68547,8/17/2020 20:41,265,91
68548,8/17/2020 20:41,277,907
68549,8/17/2020 20:41,283,907
68550,8/17/2020 20:46,265,91
68551,8/17/2020 20:46,277,908
68552,8/17/2020 20:46,283,908
68553,8/17/2020 20:51,265,91
68554,8/17/2020 20:51,277,908
68555,8/17/2020 20:51,283,908
68556,8/17/2020 20:56,265,91
68557,8/17/2020 20:56,277,908
68558,8/17/2020 20:56,283,908
68559,8/17/2020 21:01,265,0
68560,8/17/2020 21:01,277,0
68561,8/17/2020 21:01,283,0
68562,8/17/2020 21:06,265,0
68563,8/17/2020 21:06,277,0
68564,8/17/2020 21:06,283,0
68565,8/17/2020 21:11,265,0
68566,8/17/2020 21:11,277,0
68567,8/17/2020 21:11,283,0
68568,8/17/2020 21:16,265,0
68569,8/17/2020 21:16,277,4
68570,8/17/2020 21:16,283,4
68571,8/17/2020 21:21,265,0
68572,8/17/2020 21:21,277,4
68573,8/17/2020 21:21,283,4
68574,8/17/2020 21:26,265,0
68575,8/17/2020 21:26,277,5
68576,8/17/2020 21:26,283,5
68577,8/17/2020 21:31,265,0
68578,8/17/2020 21:31,277,11
68579,8/17/2020 21:31,283,11
68580,8/17/2020 21:36,265,0
